State,Year,Quarter,Districts,Transaction_count,Transaction_amount
arunachal-pradesh,2020,4,tawang,67262,2404.82
arunachal-pradesh,2020,4,namsai,46762,1119.17
arunachal-pradesh,2020,4,west siang,45207,1251.18
arunachal-pradesh,2020,4,tirap,36124,1047.1
arunachal-pradesh,2020,4,lower dibang valley,33455,819.29
arunachal-pradesh,2021,1,papum pare,419891,13887.23
arunachal-pradesh,2021,1,west kameng,120906,3847.35
arunachal-pradesh,2021,1,east siang,82357,2539.88
arunachal-pradesh,2021,1,changlang,78849,2201.68
arunachal-pradesh,2021,1,lohit,72380,1985.35
arunachal-pradesh,2021,1,tawang,54137,2078.59
arunachal-pradesh,2021,1,namsai,45753,1166.38
arunachal-pradesh,2021,1,west siang,42575,1387.01
arunachal-pradesh,2021,1,lower dibang valley,32427,907.09
arunachal-pradesh,2021,1,tirap,32043,1105.94
arunachal-pradesh,2021,2,papum pare,552953,15010.63
arunachal-pradesh,2021,2,west kameng,164866,4826.27
arunachal-pradesh,2021,2,east siang,106787,2868.39
arunachal-pradesh,2021,2,changlang,105461,2640.32
arunachal-pradesh,2021,2,lohit,99686,2304.96
arunachal-pradesh,2021,2,tawang,70061,2510.25
arunachal-pradesh,2021,2,namsai,64781,1470.7
arunachal-pradesh,2021,2,west siang,59341,1807.0
arunachal-pradesh,2021,2,tirap,46320,1445.49
arunachal-pradesh,2021,2,lower dibang valley,42091,1055.52
arunachal-pradesh,2021,3,papum pare,710098,19960.0
arunachal-pradesh,2021,3,west kameng,209165,6582.32
arunachal-pradesh,2021,3,east siang,128957,3680.62
arunachal-pradesh,2021,3,changlang,120126,3197.06
