State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
arunachal-pradesh,2019,4,Recharge & bill payments,259183,635.17
arunachal-pradesh,2019,4,Peer-to-peer payments,177833,11001.37
arunachal-pradesh,2019,4,Merchant payments,19769,231.92
arunachal-pradesh,2019,4,Financial Services,314,3.05
arunachal-pradesh,2019,4,Others,2376,34.21
arunachal-pradesh,2020,1,Recharge & bill payments,329834,860.12
arunachal-pradesh,2020,1,Peer-to-peer payments,203429,12639.12
arunachal-pradesh,2020,1,Merchant payments,31181,285.53
arunachal-pradesh,2020,1,Financial Services,470,3.38
arunachal-pradesh,2020,1,Others,2261,29.44
arunachal-pradesh,2020,2,Recharge & bill payments,522495,1451.99
arunachal-pradesh,2020,2,Peer-to-peer payments,247861,16306.54
arunachal-pradesh,2020,2,Merchant payments,35169,464.47
arunachal-pradesh,2020,2,Financial Services,1310,26.56
arunachal-pradesh,2020,2,Others,1939,17.61
arunachal-pradesh,2020,3,Recharge & bill payments,514907,1534.64
arunachal-pradesh,2020,3,Peer-to-peer payments,370418,23616.03
arunachal-pradesh,2020,3,Merchant payments,72736,881.45
arunachal-pradesh,2020,3,Financial Services,1761,40.31
arunachal-pradesh,2020,3,Others,3005,26.96
arunachal-pradesh,2020,4,Peer-to-peer payments,522019,32547.45
arunachal-pradesh,2020,4,Recharge & bill payments,513895,1523.89
arunachal-pradesh,2020,4,Merchant payments,167387,1566.83
arunachal-pradesh,2020,4,Financial Services,1749,23.92
arunachal-pradesh,2020,4,Others,4079,40.55
arunachal-pradesh,2021,1,Peer-to-peer payments,566209,34604.89
arunachal-pradesh,2021,1,Recharge & bill payments,450649,1423.58
arunachal-pradesh,2021,1,Merchant payments,155966,2049.58
arunachal-pradesh,2021,1,Financial Services,1558,26.72
arunachal-pradesh,2021,1,Others,3074,33.02
arunachal-pradesh,2021,2,Peer-to-peer payments,762946,40009.6
arunachal-pradesh,2021,2,Recharge & bill payments,556680,1655.8
arunachal-pradesh,2021,2,Merchant payments,243375,2837.09
arunachal-pradesh,2021,2,Financial Services,1582,27.61
arunachal-pradesh,2021,2,Others,3755,34.15
arunachal-pradesh,2021,3,Peer-to-peer payments,986088,50336.04
arunachal-pradesh,2021,3,Recharge & bill payments,600102,1873.91
arunachal-pradesh,2021,3,Merchant payments,314658,4498.69
arunachal-pradesh,2021,3,Financial Services,1934,33.49
arunachal-pradesh,2021,3,Others,4185,39.12
arunachal-pradesh,2021,4,Peer-to-peer payments,1227616,60227.33
arunachal-pradesh,2021,4,Recharge & bill payments,633248,2077.85
arunachal-pradesh,2021,4,Merchant payments,521447,7041.96
arunachal-pradesh,2021,4,Financial Services,2386,39.34
arunachal-pradesh,2021,4,Others,5901,48.63
arunachal-pradesh,2022,1,Peer-to-peer payments,1403584,66706.41
arunachal-pradesh,2022,1,Merchant payments,720803,9171.55
arunachal-pradesh,2022,1,Recharge & bill payments,670576,2319.33
arunachal-pradesh,2022,1,Financial Services,3053,33.6
arunachal-pradesh,2022,1,Others,6052,50.02
arunachal-pradesh,2022,2,Peer-to-peer payments,1751568,76270.61
arunachal-pradesh,2022,2,Merchant payments,1108353,12555.14
arunachal-pradesh,2022,2,Recharge & bill payments,688770,2411.63
arunachal-pradesh,2022,2,Financial Services,2466,40.63
arunachal-pradesh,2022,2,Others,5768,38.64
arunachal-pradesh,2022,3,Peer-to-peer payments,1967086,73654.27
arunachal-pradesh,2022,3,Merchant payments,1316326,14132.47
arunachal-pradesh,2022,3,Recharge & bill payments,649322,2384.48
arunachal-pradesh,2022,3,Financial Services,1997,47.63
arunachal-pradesh,2022,3,Others,4687,32.25
arunachal-pradesh,2022,4,Peer-to-peer payments,2251135,77680.89
arunachal-pradesh,2022,4,Merchant payments,1704968,16696.02
arunachal-pradesh,2022,4,Recharge & bill payments,669151,2394.13
arunachal-pradesh,2022,4,Financial Services,2617,37.85
arunachal-pradesh,2022,4,Others,4838,40.21
arunachal-pradesh,2023,1,Peer-to-peer payments,3879583,131707.41
arunachal-pradesh,2023,1,Merchant payments,2922784,28027.62
arunachal-pradesh,2023,1,Recharge & bill payments,1229475,4096.63
arunachal-pradesh,2023,1,Financial Services,4142,63.1
arunachal-pradesh,2023,1,Others,6841,51.02
arunachal-pradesh,2023,2,Peer-to-peer payments,4883817,156953.23
arunachal-pradesh,2023,2,Merchant payments,4091876,36516.14
arunachal-pradesh,2023,2,Recharge & bill payments,1374689,4474.52
arunachal-pradesh,2023,2,Financial Services,3392,58.15
arunachal-pradesh,2023,2,Others,6714,54.93
arunachal-pradesh,2023,3,Peer-to-peer payments,5889357,163517.53
arunachal-pradesh,2023,3,Merchant payments,5451474,42770.47
arunachal-pradesh,2023,3,Recharge & bill payments,1450780,4824.12
arunachal-pradesh,2023,3,Financial Services,4825,113.66
arunachal-pradesh,2023,3,Others,5997,48.14
arunachal-pradesh,2023,4,Peer-to-peer payments,6678381,185547.12
arunachal-pradesh,2023,4,Merchant payments,6435278,50430.99
arunachal-pradesh,2023,4,Recharge & bill payments,1491471,5151.81
arunachal-pradesh,2023,4,Financial Services,5573,110.79
arunachal-pradesh,2023,4,Others,7039,47.28
arunachal-pradesh,2024,1,Merchant payments,7491171,56694.83
arunachal-pradesh,2024,1,Peer-to-peer payments,7238315,197931.43
arunachal-pradesh,2024,1,Recharge & bill payments,1664938,5680.15
arunachal-pradesh,2024,1,Financial Services,6408,130.72
arunachal-pradesh,2024,1,Others,5582,33.32
arunachal-pradesh,2024,2,Merchant payments,9567105,68152.04
arunachal-pradesh,2024,2,Peer-to-peer payments,8120757,222711.38
arunachal-pradesh,2024,2,Recharge & bill payments,1776684,5959.58
arunachal-pradesh,2024,2,Financial Services,7896,207.7
arunachal-pradesh,2024,2,Others,5930,32.82
assam,2018,1,Recharge & bill payments,632092,934.91
assam,2018,1,Peer-to-peer payments,318025,9935.25
assam,2018,1,Merchant payments,40482,345.02
assam,2018,1,Financial Services,18172,49.37
assam,2018,1,Others,48110,313.5
assam,2018,2,Recharge & bill payments,984160,1744.27
assam,2018,2,Peer-to-peer payments,530781,20643.14
assam,2018,2,Merchant payments,79307,733.66
assam,2018,2,Financial Services,22773,70.52
assam,2018,2,Others,46852,314.26
assam,2018,3,Recharge & bill payments,1275136,2545.69
assam,2018,3,Peer-to-peer payments,843571,34241.37
assam,2018,3,Merchant payments,159532,967.84
assam,2018,3,Financial Services,22677,47.41
assam,2018,3,Others,50935,309.04
assam,2018,4,Recharge & bill payments,1703488,3176.61
assam,2018,4,Peer-to-peer payments,1279089,52847.76
assam,2018,4,Merchant payments,667293,2405.63
assam,2018,4,Financial Services,28035,63.32
assam,2018,4,Others,56267,386.9
assam,2019,1,Recharge & bill payments,1993220,4002.82
assam,2019,1,Peer-to-peer payments,1976310,72914.33
assam,2019,1,Merchant payments,494871,2666.45
assam,2019,1,Financial Services,20162,46.12
assam,2019,1,Others,48442,391.27
assam,2019,2,Recharge & bill payments,2512932,5393.16
assam,2019,2,Peer-to-peer payments,2293770,100352.33
assam,2019,2,Merchant payments,573646,3268.45
assam,2019,2,Financial Services,13654,40.37
assam,2019,2,Others,60927,495.39
assam,2019,3,Peer-to-peer payments,2713539,118358.01
assam,2019,3,Recharge & bill payments,2645302,6398.85
assam,2019,3,Merchant payments,513728,4213.8
assam,2019,3,Financial Services,8606,64.03
assam,2019,3,Others,61396,469.74
assam,2019,4,Peer-to-peer payments,3222143,140833.47
assam,2019,4,Recharge & bill payments,2937800,7041.19
assam,2019,4,Merchant payments,544053,4563.18
assam,2019,4,Financial Services,9621,34.92
assam,2019,4,Others,46893,347.08
assam,2020,1,Peer-to-peer payments,4058740,189774.46
assam,2020,1,Recharge & bill payments,3897975,9717.23
assam,2020,1,Merchant payments,792646,6754.24
assam,2020,1,Financial Services,10173,70.54
assam,2020,1,Others,49326,367.81
assam,2020,2,Recharge & bill payments,6045321,16125.23
assam,2020,2,Peer-to-peer payments,3648386,173583.74
assam,2020,2,Merchant payments,742400,7490.18
assam,2020,2,Financial Services,19814,181.3
assam,2020,2,Others,49278,282.55
assam,2020,3,Peer-to-peer payments,5637893,266465.66
assam,2020,3,Recharge & bill payments,5292154,16272.82
assam,2020,3,Merchant payments,1383230,14924.84
assam,2020,3,Financial Services,24954,284.53
assam,2020,3,Others,59480,366.06
assam,2020,4,Peer-to-peer payments,7538478,360132.92
assam,2020,4,Recharge & bill payments,5383505,16621.89
assam,2020,4,Merchant payments,2392184,24669.13
assam,2020,4,Financial Services,29764,323.15
assam,2020,4,Others,79523,519.02
assam,2021,1,Peer-to-peer payments,9449096,454760.79
assam,2021,1,Recharge & bill payments,6494111,21030.18
assam,2021,1,Merchant payments,3459132,36572.62
assam,2021,1,Financial Services,34049,412.91
assam,2021,1,Others,75672,488.15
assam,2021,2,Peer-to-peer payments,11668399,515213.88
assam,2021,2,Recharge & bill payments,9058005,26576.76
