State,Year,Quarter,Brands,Count,Percentage
arunachal-pradesh,2019,1,Huawei,972,1.0
arunachal-pradesh,2019,1,Others,6165,8.0
arunachal-pradesh,2019,2,Xiaomi,23326,24.0
arunachal-pradesh,2019,2,Samsung,19719,21.0
arunachal-pradesh,2019,2,Vivo,18958,20.0
arunachal-pradesh,2019,2,Oppo,13678,14.0
arunachal-pradesh,2019,2,Realme,5425,6.0
arunachal-pradesh,2019,2,Apple,2169,2.0
arunachal-pradesh,2019,2,Gionee,1608,2.0
arunachal-pradesh,2019,2,Motorola,1404,1.0
arunachal-pradesh,2019,2,OnePlus,1251,1.0
arunachal-pradesh,2019,2,Huawei,1175,1.0
arunachal-pradesh,2019,2,Others,7172,7.0
arunachal-pradesh,2019,3,Xiaomi,27394,24.0
arunachal-pradesh,2019,3,Vivo,22731,20.0
arunachal-pradesh,2019,3,Samsung,22720,20.0
arunachal-pradesh,2019,3,Oppo,16262,15.0
arunachal-pradesh,2019,3,Realme,6477,6.0
arunachal-pradesh,2019,3,Apple,2509,2.0
arunachal-pradesh,2019,3,Gionee,1800,2.0
arunachal-pradesh,2019,3,Motorola,1561,1.0
arunachal-pradesh,2019,3,OnePlus,1390,1.0
arunachal-pradesh,2019,3,Huawei,1377,1.0
arunachal-pradesh,2019,3,Others,7928,7.0
arunachal-pradesh,2019,4,Xiaomi,31369,24.0
arunachal-pradesh,2019,4,Vivo,26787,21.0
arunachal-pradesh,2019,4,Samsung,26087,20.0
arunachal-pradesh,2019,4,Oppo,19208,15.0
arunachal-pradesh,2019,4,Realme,7743,6.0
arunachal-pradesh,2019,4,Apple,2811,2.0
arunachal-pradesh,2019,4,Gionee,1983,2.0
arunachal-pradesh,2019,4,Motorola,1637,1.0
arunachal-pradesh,2019,4,Huawei,1581,1.0
arunachal-pradesh,2019,4,OnePlus,1535,1.0
arunachal-pradesh,2019,4,Others,8580,7.0
arunachal-pradesh,2020,1,Xiaomi,35625,24.0
arunachal-pradesh,2020,1,Vivo,31742,21.0
arunachal-pradesh,2020,1,Samsung,29807,20.0
arunachal-pradesh,2020,1,Oppo,22566,15.0
arunachal-pradesh,2020,1,Realme,9351,6.0
arunachal-pradesh,2020,1,Apple,3135,2.0
arunachal-pradesh,2020,1,Gionee,2068,1.0
arunachal-pradesh,2020,1,Huawei,1768,1.0
arunachal-pradesh,2020,1,Motorola,1742,1.0
arunachal-pradesh,2020,1,OnePlus,1696,1.0
arunachal-pradesh,2020,1,Others,9566,6.0
arunachal-pradesh,2020,2,Xiaomi,41662,23.0
arunachal-pradesh,2020,2,Vivo,39089,22.0
