State,Year,Quarter,Pincode,Transaction_count,Transaction_amount
andhra-pradesh,2020,3,522001,1625687,47011.16
andhra-pradesh,2020,3,518002,1514873,33524.62
andhra-pradesh,2020,4,524002,5029692,128106.45
andhra-pradesh,2020,4,530026,4235146,98496.37
andhra-pradesh,2020,4,517501,4125544,78668.84
andhra-pradesh,2020,4,517507,3420778,67496.97
andhra-pradesh,2020,4,516001,3119905,80052.48
andhra-pradesh,2020,4,530016,2981818,55910.63
andhra-pradesh,2020,4,515001,2821800,64421.02
andhra-pradesh,2020,4,518002,2219953,48099.28
andhra-pradesh,2020,4,520010,2170458,46798.66
andhra-pradesh,2020,4,530017,2027751,32524.35
andhra-pradesh,2021,1,524002,7269657,166984.28
andhra-pradesh,2021,1,530026,5875319,135670.44
andhra-pradesh,2021,1,517501,4354325,82243.03
andhra-pradesh,2021,1,520002,3591058,91838.54
andhra-pradesh,2021,1,517507,3378549,65931.22
andhra-pradesh,2021,1,530016,3144495,56791.5
andhra-pradesh,2021,1,516001,2941623,74342.05
andhra-pradesh,2021,1,515001,2815993,62254.82
andhra-pradesh,2021,1,522001,2584588,67532.06
andhra-pradesh,2021,1,520010,2291676,47167.39
andhra-pradesh,2021,2,524002,11023032,255194.04
andhra-pradesh,2021,2,530026,7850540,190428.46
andhra-pradesh,2021,2,520002,5441708,149488.64
andhra-pradesh,2021,2,517501,4614209,92156.78
andhra-pradesh,2021,2,517507,3834825,79401.05
andhra-pradesh,2021,2,522001,3427039,98326.57
andhra-pradesh,2021,2,515001,3052771,72138.37
andhra-pradesh,2021,2,530016,2892664,57059.17
andhra-pradesh,2021,2,516001,2613562,72562.66
andhra-pradesh,2021,2,518002,2553688,59066.64
andhra-pradesh,2021,3,524002,10701326,233005.09
andhra-pradesh,2021,3,530026,9780096,228417.64
andhra-pradesh,2021,3,517501,5982442,114198.49
andhra-pradesh,2021,3,520002,5320101,146336.01
andhra-pradesh,2021,3,517507,4866065,97682.22
andhra-pradesh,2021,3,522001,4242875,113556.23
andhra-pradesh,2021,3,530016,4177023,77979.28
andhra-pradesh,2021,3,515001,4040160,87520.25
andhra-pradesh,2021,3,516001,3370675,87201.15
andhra-pradesh,2021,3,520010,3206301,68323.29
andhra-pradesh,2021,4,524002,14158439,303582.75
andhra-pradesh,2021,4,530026,10216678,244280.85
andhra-pradesh,2021,4,517501,7246667,135148.35
andhra-pradesh,2021,4,517507,5790910,114150.16
andhra-pradesh,2021,4,520002,5716025,153972.68
andhra-pradesh,2021,4,530016,5252680,94849.46
andhra-pradesh,2021,4,522001,4989759,132980.89
andhra-pradesh,2021,4,515001,4892740,102354.02
andhra-pradesh,2021,4,520010,4198904,85517.38
andhra-pradesh,2021,4,516001,4058071,103248.18
andhra-pradesh,2022,1,524002,16133298,351237.55
andhra-pradesh,2022,1,530026,10293117,253559.29
andhra-pradesh,2022,1,517501,8062447,148071.78
andhra-pradesh,2022,1,517507,6660899,129136.88
andhra-pradesh,2022,1,520002,6254668,162970.42
andhra-pradesh,2022,1,522001,5691035,152264.28
andhra-pradesh,2022,1,515001,5585462,113935.85
andhra-pradesh,2022,1,530016,5554647,99911.77
andhra-pradesh,2022,1,516001,4513789,113650.57
andhra-pradesh,2022,1,520010,4492155,91085.01
andhra-pradesh,2022,2,524002,18822839,405567.5
andhra-pradesh,2022,2,530026,12256092,296005.23
andhra-pradesh,2022,2,517501,9320394,170715.03
andhra-pradesh,2022,2,517507,7667416,148637.15
andhra-pradesh,2022,2,520002,7584902,194477.68
andhra-pradesh,2022,2,530016,6470271,115221.14
andhra-pradesh,2022,2,515001,6291639,128472.57
andhra-pradesh,2022,2,522001,6073875,160419.57
andhra-pradesh,2022,2,520010,5301338,107471.57
andhra-pradesh,2022,2,516001,4927880,124521.11
andhra-pradesh,2022,3,530026,10427710,244527.49
andhra-pradesh,2022,3,517501,9028550,166851.53
andhra-pradesh,2022,3,517507,7638906,148930.52
andhra-pradesh,2022,3,524002,6897466,177982.6
andhra-pradesh,2022,3,522001,6608575,147994.55
andhra-pradesh,2022,3,520002,6370783,173592.06
andhra-pradesh,2022,3,530016,6352195,112801.22
andhra-pradesh,2022,3,515001,6120942,123501.34
andhra-pradesh,2022,3,520010,5372903,108010.2
andhra-pradesh,2022,3,516001,5350632,135172.54
andhra-pradesh,2022,4,530026,10249750,233265.16
andhra-pradesh,2022,4,517501,9601016,171606.01
andhra-pradesh,2022,4,517507,8255182,154528.9
andhra-pradesh,2022,4,530016,6770365,115756.93
andhra-pradesh,2022,4,515001,6566772,126475.57
andhra-pradesh,2022,4,522001,6419773,138794.36
andhra-pradesh,2022,4,520010,5887349,111088.37
andhra-pradesh,2022,4,518002,5810257,124884.2
andhra-pradesh,2022,4,520002,5685286,148830.19
andhra-pradesh,2022,4,516001,5545373,130272.11
andhra-pradesh,2023,1,517501,15726677,253263.43
andhra-pradesh,2023,1,517507,14231038,247271.27
andhra-pradesh,2023,1,530016,11205270,186084.93
andhra-pradesh,2023,1,515001,11202633,201639.05
andhra-pradesh,2023,1,520010,9654796,175573.92
andhra-pradesh,2023,1,518002,8884834,163903.89
andhra-pradesh,2023,1,516001,8730141,190458.59
andhra-pradesh,2023,1,520011,8055364,140953.76
andhra-pradesh,2023,1,520007,7967416,152165.54
andhra-pradesh,2023,1,530026,7954047,135079.39
andhra-pradesh,2023,2,517501,17533692,278477.69
andhra-pradesh,2023,2,517507,16071649,277359.84
andhra-pradesh,2023,2,530016,12677134,205036.32
andhra-pradesh,2023,2,515001,12455688,223512.0
andhra-pradesh,2023,2,520010,10965771,195353.75
andhra-pradesh,2023,2,518002,9897206,182546.36
andhra-pradesh,2023,2,516001,9681752,211183.01
andhra-pradesh,2023,2,520011,9241075,156291.19
andhra-pradesh,2023,2,520007,9092492,170115.23
andhra-pradesh,2023,2,530026,8876516,146198.51
andhra-pradesh,2023,3,517501,19950308,304816.6
andhra-pradesh,2023,3,517507,18601251,307739.76
andhra-pradesh,2023,3,530016,14464077,225608.28
andhra-pradesh,2023,3,515001,14092751,237878.07
andhra-pradesh,2023,3,520010,12583902,215785.57
andhra-pradesh,2023,3,518002,11433335,194483.39
andhra-pradesh,2023,3,516001,11173043,228365.62
andhra-pradesh,2023,3,520011,10750550,171718.2
andhra-pradesh,2023,3,520007,10452102,182892.65
andhra-pradesh,2023,3,530026,10339712,159990.36
andhra-pradesh,2023,4,517501,20947807,316518.65
andhra-pradesh,2023,4,517507,19563362,317047.07
andhra-pradesh,2023,4,515001,15058936,246564.75
andhra-pradesh,2023,4,530016,14807835,229084.01
andhra-pradesh,2023,4,520010,13194498,220738.42
andhra-pradesh,2023,4,518002,12622748,209768.34
andhra-pradesh,2023,4,516001,12291648,239779.92
andhra-pradesh,2023,4,520011,11506163,181227.68
andhra-pradesh,2023,4,520007,11138627,190878.62
andhra-pradesh,2023,4,530026,10776659,167121.23
andhra-pradesh,2024,1,517501,22460833,324763.24
andhra-pradesh,2024,1,517507,21155088,328105.84
